-214,-153,-58,88,-295,-558,199,-176,252,206,-41,-831,-653,-462,75,381,-118,-565,15091,0
-135,-114,265,12,-419,-585,158,-253,49,31,363,-934,-577,-214,142,271,-107,-101,15763,0
-106,-125,-76,168,-230,-284,4,-122,70,252,155,-471,-490,-184,32,213,1,-260,18128,0
-72,-144,238,55,-399,-551,131,-179,126,-20,-115,-1003,-761,-541,109,435,-129,-399,30799,0
-413,-260,7,-2,-541,-790,-275,-463,70,-169,361,-1001,-520,-163,-38,281,-137,-247,25144,0
-67,-93,84,25,-179,-323,-135,-127,-2,-66,208,-472,-163,-192,-80,89,-106,-251,27089,0
-92,-119,-31,173,-233,-227,-49,-62,13,230,2,-425,-381,-2,62,243,-41,-424,19324,0
-107,-72,-126,149,-205,-284,-166,-185,1,-23,205,-437,-351,-210,39,67,-122,-110,11631,1
-117,-219,-50,257,-218,-402,228,-147,65,67,-101,-547,-277,-22,196,306,-68,-362,16739,0
-476,-213,-18,301,-403,-394,-42,-144,98,173,-133,-958,-271,-228,-42,232,100,-599,14022,0
-81,-150,-119,78,-152,-340,-36,-141,96,-55,-209,-362,-427,-4,199,290,1,-350,23507,0
-44,-51,100,207,-146,-221,83,-198,35,-20,11,-535,-386,-64,49,13,-46,-334,20230,0
17,-229,79,218,-262,-404,325,-201,6,469,-127,-539,-95,-114,171,99,-102,-540,6476,1
-144,-199,-157,132,-151,-347,-118,-24,126,-201,-89,-429,-74,-63,327,96,61,-79,22143,0
-247,-90,-168,-24,-308,-571,-169,-224,124,-117,-14,-730,-546,-209,115,111,-2,-264,24323,0
-120,-263,-114,255,-342,-396,-412,-153,184,-162,100,-477,-498,-210,-71,217,52,-145,14989,0
-81,-150,-85,316,-418,-461,-66,-184,164,-5,46,-470,-383,-225,85,83,-77,-120,18341,0
-112,-233,-78,54,-244,-275,-479,-108,136,-86,-190,-309,-497,-106,80,246,-7,-194,12802,0
-273,-326,-76,81,-439,-616,419,-251,165,350,-40,-1249,-863,-125,270,312,-179,-874,25668,0
-139,-73,-1,283,-264,-400,-330,-168,101,74,19,-743,-239,-83,182,164,-141,-423,11038,0
-76,-49,-307,308,-376,-649,33,-367,206,-215,19,-1135,-962,-232,208,432,84,-501,16686,0
-138,-85,215,71,-272,-558,67,-186,87,193,325,-631,-625,-177,-94,222,-1,-140,34207,0
5,-127,106,268,-210,-535,0,-174,24,506,284,-829,-844,-230,292,172,-59,-323,15267,0
-88,-105,42,219,-178,-246,328,-148,177,183,-143,-685,-468,-51,233,310,-79,-443,21812,0
-165,-155,-71,82,-163,-430,100,-109,56,350,204,-524,-599,-188,34,221,-41,-204,18166,0
-113,-147,-118,243,-127,-398,-249,-228,-37,113,188,-625,-413,-229,0,175,-99,-142,14760,0
-74,-323,-11,-36,-319,-503,-139,-120,116,-17,267,-604,-472,-237,59,82,-65,-132,36687,0
-20,-207,-50,101,-370,-529,14,-365,153,29,255,-769,-615,-199,233,222,-172,-287,16723,1
7,-100,-57,132,-377,-478,-351,-290,283,247,146,-752,-702,-228,48,180,-141,-233,45490,1
-213,-253,136,319,-209,-557,40,-243,119,-131,45,-903,-307,-259,466,298,-93,-517,23903,0
-25,-20,124,325,-396,-464,-221,-390,-1,358,-197,-852,-689,-175,-7,-156,-47,-397,17354,1
-72,-139,-1,392,-323,-510,-350,-202,249,561,275,-785,-326,-47,-96,16,-140,-367,19403,1
-4,-116,-125,241,-191,-411,-31,-240,149,24,19,-669,-664,-311,297,353,-96,-291,17876,1
15,-114,2,193,-51,-155,29,-105,42,524,-70,-345,-285,-53,38,-142,-125,-118,26056,1
-318,-192,-95,312,-139,-344,324,-237,105,167,-50,-819,-231,-273,208,99,-126,-534,11980,1
-32,-49,49,230,-367,-508,-349,-194,34,-56,147,-840,-657,-240,-15,227,-166,-453,23506,1
-124,-79,-37,329,-188,-423,-31,-223,-82,176,226,-1010,-513,-333,30,177,-69,-411,17992,1
-135,-186,-70,337,-407,-566,-141,-315,205,320,233,-946,-908,-507,357,180,-91,-867,19666,0
-214,-153,-58,88,-295,-558,199,-176,252,206,-41,-831,-653,-462,75,381,-118,-565,15091,0
-342,-200,41,328,-224,-427,-656,-292,137,-144,48,-591,-622,-342,294,241,-7,-108,45815,0
-87,-248,262,295,-226,-493,367,-452,194,162,207,-960,-622,175,171,-71,-163,-445,20958,0
22,-153,17,276,-211,-250,55,-141,0,500,58,-517,-24,-99,13,-77,-182,-150,25880,1
-243,-218,-163,182,-289,-268,-285,-172,52,-134,-140,-321,-439,-149,-56,117,-31,-243,41275,0
-130,-177,-28,266,-170,-326,-222,-93,10,159,-3,-643,-502,-129,-31,247,-100,-498,11195,0
-256,-249,-410,24,-535,-810,709,-316,27,14,-69,-1014,-906,-193,331,303,-273,-566,21777,1
-62,-23,-7,142,-233,-284,-167,-97,-12,-70,-89,-355,-173,-165,-139,144,-111,-161,28991,0
86,-36,-141,252,-201,-384,-420,-197,-60,-468,182,-322,-319,-137,144,-100,-201,-408,42401,0
-146,-74,170,174,-32,-318,8,-152,-148,17,-100,-373,-139,-234,-103,65,117,-94,27924,0
-187,-187,312,142,114,-148,-184,-133,12,97,-83,-375,-426,-187,23,-34,25,-171,21229,0
-56,-43,43,177,-116,-184,-105,-62,0,-40,30,-436,-171,-176,-77,49,7,-70,29189,0
-55,-44,12,129,-108,-301,-222,-133,136,320,81,-518,-168,-102,57,105,-61,-167,29906,0
-59,-114,23,146,-171,-227,-73,-126,-6,149,-62,-406,-354,-133,252,198,-103,-336,20288,0
-131,-126,-50,211,-206,-287,-34,-114,62,341,-166,-309,-521,-85,174,161,-93,-333,23462,0
-154,-136,49,180,-257,-273,141,-123,52,878,-51,-592,-219,-149,-76,391,-11,-190,19457,0
-79,-118,-30,68,-110,-264,-28,-61,40,-217,-52,-247,-454,-11,187,154,0,-322,17499,0
-76,-98,-153,237,-215,-122,-68,-118,6,208,-25,-430,-348,-79,8,73,-119,-87,24611,0
-34,-144,-17,152,-174,-289,361,-89,87,104,-239,-436,-349,-197,521,274,67,-184,43084,0
-95,-118,59,270,-229,-383,172,-187,185,157,66,-525,-401,-162,30,337,-162,-213,49419,0
-12,-172,12,172,-137,-205,358,-104,-25,147,-221,-297,-289,-81,155,195,-91,-160,49084,0
-21,-13,8,38,-128,-245,409,-102,85,281,-217,-469,-170,14,210,213,16,-109,20658,1
-202,-274,59,309,-456,-581,-159,-343,236,-7,-542,-744,-331,-372,159,303,-93,-297,19266,1
-112,-185,24,170,-197,-400,-215,-227,100,307,48,-677,-504,-98,205,112,-88,-301,37749,1
-118,-142,212,314,-401,-452,-336,-310,177,-131,-151,-636,-1166,-157,87,314,-107,-345,18595,1
-90,-87,102,319,-283,-385,-726,-271,-12,-104,4,-607,-433,-79,-9,261,123,-427,31068,1
-137,-51,-82,178,-135,-320,-13,-11,112,-176,-3,-516,-373,-143,-37,251,-151,-184,38690,1
-157,-370,-77,340,-438,-364,-216,-210,-86,253,-188,-238,-531,-188,176,142,-108,-231,58203,1
-172,-122,38,31,-201,-226,242,-117,-6,179,34,-517,-101,-128,255,-98,-15,-65,31022,1
-47,-442,-21,396,-351,-394,236,-39,95,203,-75,-507,-292,-416,158,307,-175,-656,36915,1
-62,-198,-5,141,-256,-206,-298,-218,-14,100,-125,-688,-399,-212,243,70,-124,-137,22818,1
-58,-217,63,95,-191,-230,-86,-152,-6,-249,-117,-443,-252,-221,-180,-76,-176,-206,39323,1
-161,-215,-46,146,-172,-596,-122,-341,171,-147,-533,-1185,-789,-547,7,328,-86,-457,15689,1
-48,-531,-124,431,-496,-696,-1038,-441,235,157,-162,-1453,-1013,-317,173,344,-206,-623,41570,1
-176,-284,-81,9,-294,-493,-393,-141,166,-37,-39,-859,-572,-150,414,331,-143,-291,39538,1
-164,-35,267,409,-459,-391,-40,-328,180,-115,-269,-677,-1309,-36,157,331,-87,134,18865,1
-7,-122,53,387,-195,-355,-320,-86,-109,223,-362,-142,-655,-33,-13,-15,-122,-196,29360,0
14,97,13,320,-430,-535,-461,-312,13,455,-97,-444,-799,-186,-175,-5,-126,-328,40672,1
-467,-253,-40,493,-707,-415,-457,-37,102,-11,-276,-914,-755,-515,-191,151,73,-741,14636,0
8,-40,-57,414,-367,-606,-107,-192,126,76,55,-788,-869,-309,-294,331,-153,-531,17457,1
-162,-131,31,321,-244,-781,-52,-262,205,290,400,-1020,-938,-441,358,251,-135,-915,28735,1
-137,-45,236,-109,-138,-662,-256,-484,71,-133,570,-1152,-280,-152,335,123,-186,-111,21984,0
-41,-161,105,298,-497,-334,-544,-382,84,-476,-265,-296,-826,-346,-55,360,-65,-536,11332,1
-14,-183,-39,28,20,-365,-258,-280,-22,223,125,-895,-638,-238,288,81,-174,-511,41651,1
-255,-367,-307,45,-424,-929,493,-451,141,-235,-335,-1106,-772,-116,319,269,-308,-296,5696,0
-55,-595,80,435,-187,-490,-13,-23,23,182,-191,-948,-195,-611,285,147,-124,-778,42147,1
-43,-85,47,32,-220,-431,244,-329,237,-62,325,-510,-389,-199,151,43,-61,-137,34630,0
-349,-175,74,330,-395,-757,-60,-214,211,296,304,-1040,-1269,-299,248,410,-200,-916,27300,1
-107,-208,44,236,-175,-406,-321,-145,-3,84,8,-572,-67,-87,19,391,-175,-391,14843,0
-183,-214,-18,142,-321,39,-548,-272,29,452,-408,-718,-464,-126,276,53,-131,-70,37607,1
-137,-132,17,311,-262,-366,101,-251,3,243,304,-493,-326,-267,-79,129,-56,18,24985,0
-51,103,107,215,-209,-511,-627,-109,27,29,105,-1066,-1133,-216,-264,421,-91,-625,11420,0
